speed_kmh,test_type,sign_id,pass_id,sign_type,lateral_offset_m,segment_type,tag_epc,detected,recognition_dist_m,false_positive,notes
20,qualitative,1,1,STOP,1.0,straight,E28011700000020A4B2C5678,True,,False,distance_not_measured
20,qualitative,1,2,STOP,1.0,straight,E28011700000020A4B2C5678,True,,False,distance_not_measured
20,qualitative,1,3,STOP,1.0,straight,E28011700000020A4B2C5678,True,,False,distance_not_measured
20,qualitative,2,1,STOP,1.5,straight,E28011700000020A4B2C5679,True,,False,distance_not_measured
20,qualitative,2,2,STOP,1.5,straight,E28011700000020A4B2C5679,True,,False,distance_not_measured
20,qualitative,2,3,STOP,1.5,straight,E28011700000020A4B2C5679,True,,False,distance_not_measured
20,qualitative,3,1,SPEED_20,2.0,straight,E28011700000020A4B2C567A,True,,False,distance_not_measured
20,qualitative,3,2,SPEED_20,2.0,straight,E28011700000020A4B2C567A,True,,False,distance_not_measured
20,qualitative,3,3,SPEED_20,2.0,straight,E28011700000020A4B2C567A,True,,False,distance_not_measured
20,qualitative,4,1,STOP,3.5,straight,E28011700000020A4B2C567B,True,,False,distance_not_measured
20,qualitative,4,2,STOP,3.5,straight,E28011700000020A4B2C567B,True,,False,distance_not_measured
20,qualitative,4,3,STOP,3.5,straight,E28011700000020A4B2C567B,True,,False,distance_not_measured
20,qualitative,5,1,STOP,1.5,straight,E28011700000020A4B2C567C,True,,False,distance_not_measured
20,qualitative,5,2,STOP,1.5,straight,E28011700000020A4B2C567C,True,,False,distance_not_measured
20,qualitative,5,3,STOP,1.5,straight,E28011700000020A4B2C567C,True,,False,distance_not_measured
20,qualitative,6,1,PEDESTRIAN,1.5,curved,E28011700000020A4B2C567D,True,,False,distance_not_measured
20,qualitative,6,2,PEDESTRIAN,1.5,curved,E28011700000020A4B2C567D,True,,False,distance_not_measured
20,qualitative,6,3,PEDESTRIAN,1.5,curved,E28011700000020A4B2C567D,True,,False,distance_not_measured
20,qualitative,7,1,SPEED_20,1.5,curved,E28011700000020A4B2C567E,True,,False,distance_not_measured
20,qualitative,7,2,SPEED_20,1.5,curved,E28011700000020A4B2C567E,True,,False,distance_not_measured
20,qualitative,7,3,SPEED_20,1.5,curved,E28011700000020A4B2C567E,True,,False,distance_not_measured
20,qualitative,8,1,SPEED_20,1.5,straight,E28011700000020A4B2C567F,True,,False,distance_not_measured
20,qualitative,8,2,SPEED_20,1.5,straight,E28011700000020A4B2C567F,True,,False,distance_not_measured
20,qualitative,8,3,SPEED_20,1.5,straight,E28011700000020A4B2C567F,True,,False,distance_not_measured
20,qualitative,9,1,SPEED_20,1.5,straight,E28011700000020A4B2C5680,True,,False,distance_not_measured
20,qualitative,9,2,SPEED_20,1.5,straight,E28011700000020A4B2C5680,True,,False,distance_not_measured
20,qualitative,9,3,SPEED_20,1.5,straight,E28011700000020A4B2C5680,True,,False,distance_not_measured
20,qualitative,10,1,SPEED_20,1.5,straight,E28011700000020A4B2C5681,True,,False,distance_not_measured
20,qualitative,10,2,SPEED_20,1.5,straight,E28011700000020A4B2C5681,True,,False,distance_not_measured
20,qualitative,10,3,SPEED_20,1.5,straight,E28011700000020A4B2C5681,True,,False,distance_not_measured
20,qualitative,11,1,SPEED_20,3.0,straight,E28011700000020A4B2C5682,True,,False,distance_not_measured
20,qualitative,11,2,SPEED_20,3.0,straight,E28011700000020A4B2C5682,True,,False,distance_not_measured
20,qualitative,11,3,SPEED_20,3.0,straight,E28011700000020A4B2C5682,True,,False,distance_not_measured
20,qualitative,12,1,STOP,1.5,straight,E28011700000020A4B2C5683,True,,False,distance_not_measured
20,qualitative,12,2,STOP,1.5,straight,E28011700000020A4B2C5683,True,,False,distance_not_measured
20,qualitative,12,3,STOP,1.5,straight,E28011700000020A4B2C5683,True,,False,distance_not_measured
40,qualitative,1,1,STOP,1.0,straight,E28011700000020A4B2C5678,True,,False,distance_not_measured
40,qualitative,1,2,STOP,1.0,straight,E28011700000020A4B2C5678,True,,False,distance_not_measured
40,qualitative,1,3,STOP,1.0,straight,E28011700000020A4B2C5678,True,,False,distance_not_measured
40,qualitative,2,1,STOP,1.5,straight,E28011700000020A4B2C5679,True,,False,distance_not_measured
40,qualitative,2,2,STOP,1.5,straight,E28011700000020A4B2C5679,True,,False,distance_not_measured
40,qualitative,2,3,STOP,1.5,straight,E28011700000020A4B2C5679,True,,False,distance_not_measured
40,qualitative,3,1,SPEED_20,2.0,straight,E28011700000020A4B2C567A,True,,False,distance_not_measured
40,qualitative,3,2,SPEED_20,2.0,straight,E28011700000020A4B2C567A,True,,False,distance_not_measured
40,qualitative,3,3,SPEED_20,2.0,straight,E28011700000020A4B2C567A,True,,False,distance_not_measured
40,qualitative,4,1,STOP,3.5,straight,E28011700000020A4B2C567B,True,,False,distance_not_measured
40,qualitative,4,2,STOP,3.5,straight,E28011700000020A4B2C567B,True,,False,distance_not_measured
40,qualitative,4,3,STOP,3.5,straight,E28011700000020A4B2C567B,True,,False,distance_not_measured
40,qualitative,5,1,STOP,1.5,straight,E28011700000020A4B2C567C,True,,False,distance_not_measured
40,qualitative,5,2,STOP,1.5,straight,E28011700000020A4B2C567C,True,,False,distance_not_measured
40,qualitative,5,3,STOP,1.5,straight,E28011700000020A4B2C567C,True,,False,distance_not_measured
40,qualitative,6,1,PEDESTRIAN,1.5,curved,E28011700000020A4B2C567D,True,,False,distance_not_measured
40,qualitative,6,2,PEDESTRIAN,1.5,curved,E28011700000020A4B2C567D,True,,False,distance_not_measured
40,qualitative,6,3,PEDESTRIAN,1.5,curved,E28011700000020A4B2C567D,True,,False,distance_not_measured
40,qualitative,7,1,SPEED_20,1.5,curved,E28011700000020A4B2C567E,True,,False,distance_not_measured
40,qualitative,7,2,SPEED_20,1.5,curved,E28011700000020A4B2C567E,True,,False,distance_not_measured
40,qualitative,7,3,SPEED_20,1.5,curved,E28011700000020A4B2C567E,True,,False,distance_not_measured
40,qualitative,8,1,SPEED_20,1.5,straight,E28011700000020A4B2C567F,True,,False,distance_not_measured
40,qualitative,8,2,SPEED_20,1.5,straight,E28011700000020A4B2C567F,True,,False,distance_not_measured
40,qualitative,8,3,SPEED_20,1.5,straight,E28011700000020A4B2C567F,True,,False,distance_not_measured
40,qualitative,9,1,SPEED_20,1.5,straight,E28011700000020A4B2C5680,True,,False,distance_not_measured
40,qualitative,9,2,SPEED_20,1.5,straight,E28011700000020A4B2C5680,True,,False,distance_not_measured
40,qualitative,9,3,SPEED_20,1.5,straight,E28011700000020A4B2C5680,True,,False,distance_not_measured
40,qualitative,10,1,SPEED_20,1.5,straight,E28011700000020A4B2C5681,True,,False,distance_not_measured
40,qualitative,10,2,SPEED_20,1.5,straight,E28011700000020A4B2C5681,True,,False,distance_not_measured
40,qualitative,10,3,SPEED_20,1.5,straight,E28011700000020A4B2C5681,True,,False,distance_not_measured
40,qualitative,11,1,SPEED_20,3.0,straight,E28011700000020A4B2C5682,True,,False,distance_not_measured
40,qualitative,11,2,SPEED_20,3.0,straight,E28011700000020A4B2C5682,True,,False,distance_not_measured
40,qualitative,11,3,SPEED_20,3.0,straight,E28011700000020A4B2C5682,True,,False,distance_not_measured
40,qualitative,12,1,STOP,1.5,straight,E28011700000020A4B2C5683,True,,False,distance_not_measured
40,qualitative,12,2,STOP,1.5,straight,E28011700000020A4B2C5683,True,,False,distance_not_measured
40,qualitative,12,3,STOP,1.5,straight,E28011700000020A4B2C5683,True,,False,distance_not_measured
